Código DEP,Departamento,Código MUN. ,Municipio,Unnamed: 4,LATITUD,LONGITUD,DEP. RIPS.,MUN. RIPS,Unnamed: 9
5,ANTIOQUIA,5001,MEDELLÍN,Municipio,6.257590259,-75.611031065,05-Antioquia,05001-Medellín,Medellín
5,ANTIOQUIA,5002,ABEJORRAL,Municipio,5.803728154,-75.438473525,05-Antioquia,05002-Abejorral,Abejorral
5,ANTIOQUIA,5004,ABRIAQUÍ,Municipio,6.627569378,-76.085977561,05-Antioquia,05004-Abriaquí,Abriaquí
5,ANTIOQUIA,5021,ALEJANDRÍA,Municipio,6.365534125,-75.090597022,05-Antioquia,05021-Alejandría,Alejandría
5,ANTIOQUIA,5030,AMAGÁ,Municipio,6.032921994,-75.708003098,05-Antioquia,05030-Amagá,Amagá
5,ANTIOQUIA,5031,AMALFI,Municipio,6.977788843,-74.981239298,05-Antioquia,05031-Amalfi,Amalfi
5,ANTIOQUIA,5034,ANDES,Municipio,5.604993248,-75.941283908,05-Antioquia,05034-Andes,Andes
5,ANTIOQUIA,5036,ANGELÓPOLIS,Municipio,6.121430303,-75.715949663,05-Antioquia,05036-Angelópolis,Angelópolis
5,ANTIOQUIA,5038,ANGOSTURA,Municipio,6.861498764,-75.358315997,05-Antioquia,05038-Angostura,Angostura
5,ANTIOQUIA,5040,ANORÍ,Municipio,7.193110778,-75.108489539,05-Antioquia,05040-Anorí,Anorí
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,Municipio,6.535711576,-75.904266579,05-Antioquia,05042-Santa Fé De Antioquia,Santa Fé De Antioquia
5,ANTIOQUIA,5044,ANZÁ,Municipio,6.293546613,-75.917369269,05-Antioquia,05044-Anzá,Anzá
5,ANTIOQUIA,5045,APARTADÓ,Municipio,7.86047815,-76.582362643,05-Antioquia,05045-Apartadó,Apartadó
5,ANTIOQUIA,5051,ARBOLETES,Municipio,8.611395262,-76.414783173,05-Antioquia,05051-Arboletes,Arboletes
5,ANTIOQUIA,5055,ARGELIA,Municipio,5.708114524,-75.094697954,05-Antioquia,05055-Argelia,Argelia
5,ANTIOQUIA,5059,ARMENIA,Municipio,6.163683758,-75.809955281,05-Antioquia,05059-Armenia,Armenia
5,ANTIOQUIA,5079,BARBOSA,Municipio,6.443417935,-75.329240854,05-Antioquia,05079-Barbosa,Barbosa
5,ANTIOQUIA,5086,BELMIRA,Municipio,6.665853953,-75.68621659,05-Antioquia,05086-Belmira,Belmira
5,ANTIOQUIA,5088,BELLO,Municipio,6.358841086,-75.589735878,05-Antioquia,05088-Bello,Bello
5,ANTIOQUIA,5091,BETANIA,Municipio,5.727081285,-75.986891074,05-Antioquia,05091-Betania,Betania
5,ANTIOQUIA,5093,BETULIA,Municipio,6.185783612,-75.956492463,05-Antioquia,05093-Betulia,Betulia
5,ANTIOQUIA,5101,CIUDAD BOLÍVAR,Municipio,5.840995666,-76.010652526,05-Antioquia,05101-Ciudad Bolívar,Ciudad Bolívar
5,ANTIOQUIA,5107,BRICEÑO,Municipio,7.111788462,-75.562234738,05-Antioquia,05107-Briceño,Briceño
5,ANTIOQUIA,5113,BURITICÁ,Municipio,6.80906489,-75.912065947,05-Antioquia,05113-Buriticá,Buriticá
5,ANTIOQUIA,5120,CÁCERES,Municipio,7.665155105,-75.223697441,05-Antioquia,05120-Cáceres,Cáceres
5,ANTIOQUIA,5125,CAICEDO,Municipio,6.423463639,-75.99351498,05-Antioquia,05125-Caicedo,Caicedo
5,ANTIOQUIA,5129,CALDAS,Municipio,6.054446841,-75.626426743,05-Antioquia,05129-Caldas,Caldas
5,ANTIOQUIA,5134,CAMPAMENTO,Municipio,7.036017478,-75.287661778,05-Antioquia,05134-Campamento,Campamento
5,ANTIOQUIA,5138,CAÑASGORDAS,Municipio,6.814950023,-76.02689632,05-Antioquia,05138-Cañasgordas,Cañasgordas
5,ANTIOQUIA,5142,CARACOLÍ,Municipio,6.33797388,-74.733548173,05-Antioquia,05142-Caracolí,Caracolí
5,ANTIOQUIA,5145,CARAMANTA,Municipio,5.555275296,-75.630820964,05-Antioquia,05145-Caramanta,Caramanta
5,ANTIOQUIA,5147,CAREPA,Municipio,7.757967437,-76.643746573,05-Antioquia,05147-Carepa,Carepa
5,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,Municipio,5.978078841,-75.263536102,05-Antioquia,05148-El Carmen De Viboral,El Carmen De Viboral
5,ANTIOQUIA,5150,CAROLINA,Municipio,6.754821442,-75.305906539,05-Antioquia,05150-Carolina,Carolina
5,ANTIOQUIA,5154,CAUCASIA,Municipio,7.867941792,-75.035018239,05-Antioquia,05154-Caucasia,Caucasia
5,ANTIOQUIA,5172,CHIGORODÓ,Municipio,7.631665644,-76.639642127,05-Antioquia,05172-Chigorodó,Chigorodó
5,ANTIOQUIA,5190,CISNEROS,Municipio,6.550065431,-75.08254116,05-Antioquia,05190-Cisneros,Cisneros
5,ANTIOQUIA,5197,COCORNÁ,Municipio,6.005593074,-75.160154033,05-Antioquia,05197-Cocorná,Cocorná
5,ANTIOQUIA,5206,CONCEPCIÓN,Municipio,6.376106187,-75.217859014,05-Antioquia,05206-Concepción,Concepción
5,ANTIOQUIA,5209,CONCORDIA,Municipio,6.057468678,-75.900146783,05-Antioquia,05209-Concordia,Concordia
5,ANTIOQUIA,5212,COPACABANA,Municipio,6.351882893,-75.50075633,05-Antioquia,05212-Copacabana,Copacabana
5,ANTIOQUIA,5234,DABEIBA,Municipio,6.992243782,-76.314263284,05-Antioquia,05234-Dabeiba,Dabeiba
5,ANTIOQUIA,5237,DONMATÍAS,Municipio,6.492403905,-75.422276872,05-Antioquia,05237-Donmatías,Donmatías
5,ANTIOQUIA,5240,EBÉJICO,Municipio,6.326444922,-75.783311748,05-Antioquia,05240-Ebéjico,Ebéjico
5,ANTIOQUIA,5250,EL BAGRE,Municipio,7.704633351,-74.664277263,05-Antioquia,05250-El Bagre,El Bagre
5,ANTIOQUIA,5264,ENTRERRÍOS,Municipio,6.594656004,-75.559130833,05-Antioquia,05264-Entrerríos,Entrerríos
5,ANTIOQUIA,5266,ENVIGADO,Municipio,6.154394922,-75.546867788,05-Antioquia,05266-Envigado,Envigado
5,ANTIOQUIA,5282,FREDONIA,Municipio,5.887702934,-75.679262419,05-Antioquia,05282-Fredonia,Fredonia
5,ANTIOQUIA,5284,FRONTINO,Municipio,6.691364773,-76.33199656,05-Antioquia,05284-Frontino,Frontino
5,ANTIOQUIA,5306,GIRALDO,Municipio,6.663095863,-75.948046628,05-Antioquia,05306-Giraldo,Giraldo
5,ANTIOQUIA,5308,GIRARDOTA,Municipio,6.379745895,-75.447957442,05-Antioquia,05308-Girardota,Girardota
5,ANTIOQUIA,5310,GÓMEZ PLATA,Municipio,6.709562839,-75.192702912,05-Antioquia,05310-Gómez Plata,Gómez Plata
5,ANTIOQUIA,5313,GRANADA,Municipio,6.123380721,-75.127636463,05-Antioquia,05313-Granada,Granada
5,ANTIOQUIA,5315,GUADALUPE,Municipio,6.861576325,-75.225913027,05-Antioquia,05315-Guadalupe,Guadalupe
5,ANTIOQUIA,5318,GUARNE,Municipio,6.266625703,-75.437308008,05-Antioquia,05318-Guarne,Guarne
5,ANTIOQUIA,5321,GUATAPÉ,Municipio,6.236329826,-75.156512723,05-Antioquia,05321-Guatapé,Guatapé
5,ANTIOQUIA,5347,HELICONIA,Municipio,6.214511788,-75.749710019,05-Antioquia,05347-Heliconia,Heliconia
5,ANTIOQUIA,5353,HISPANIA,Municipio,5.797039002,-75.906692028,05-Antioquia,05353-Hispania,Hispania
5,ANTIOQUIA,5360,ITAGÜÍ,Municipio,6.179279438,-75.614203699,05-Antioquia,05360-Itagüí,Itagüí
5,ANTIOQUIA,5361,ITUANGO,Municipio,7.341549718,-75.678422773,05-Antioquia,05361-Ituango,Ituango
5,ANTIOQUIA,5364,JARDÍN,Municipio,5.574444339,-75.818425748,05-Antioquia,05364-Jardín,Jardín
5,ANTIOQUIA,5368,JERICÓ,Municipio,5.769820536,-75.764882556,05-Antioquia,05368-Jericó,Jericó
5,ANTIOQUIA,5376,LA CEJA,Municipio,5.992524843,-75.430869347,05-Antioquia,05376-La Ceja,La Ceja
5,ANTIOQUIA,5380,LA ESTRELLA,Municipio,6.137595883,-75.648954991,05-Antioquia,05380-La Estrella,La Estrella
5,ANTIOQUIA,5390,LA PINTADA,Municipio,5.746583958,-75.60220206,05-Antioquia,05390-La Pintada,La Pintada
5,ANTIOQUIA,5400,LA UNIÓN,Municipio,5.940434685,-75.354290227,05-Antioquia,05400-La Unión,La Unión
5,ANTIOQUIA,5411,LIBORINA,Municipio,6.723990935,-75.783000458,05-Antioquia,05411-Liborina,Liborina
5,ANTIOQUIA,5425,MACEO,Municipio,6.534573585,-74.714108541,05-Antioquia,05425-Maceo,Maceo
5,ANTIOQUIA,5440,MARINILLA,Municipio,6.18520515,-75.304879329,05-Antioquia,05440-Marinilla,Marinilla
5,ANTIOQUIA,5467,MONTEBELLO,Municipio,5.916853903,-75.519726926,05-Antioquia,05467-Montebello,Montebello
5,ANTIOQUIA,5475,MURINDÓ,Municipio,6.828773855,-76.708613491,05-Antioquia,05475-Murindó,Murindó
5,ANTIOQUIA,5480,MUTATÁ,Municipio,7.329557848,-76.463065695,05-Antioquia,05480-Mutatá,Mutatá
5,ANTIOQUIA,5483,NARIÑO,Municipio,5.581275312,-75.194570185,05-Antioquia,05483-Nariño,Nariño
5,ANTIOQUIA,5490,NECOCLÍ,Municipio,8.493728551,-76.676995884,05-Antioquia,05490-Necoclí,Necoclí
5,ANTIOQUIA,5495,NECHÍ,Municipio,7.983477394,-74.65844186,05-Antioquia,05495-Nechí,Nechí
5,ANTIOQUIA,5501,OLAYA,Municipio,6.611418083,-75.775670969,05-Antioquia,05501-Olaya,Olaya
5,ANTIOQUIA,5541,PEÑOL,Municipio,6.232396368,-75.223509055,05-Antioquia,05541-Peñol,Peñol
5,ANTIOQUIA,5543,PEQUE,Municipio,7.044180058,-75.889688434,05-Antioquia,05543-Peque,Peque
5,ANTIOQUIA,5576,PUEBLORRICO,Municipio,5.80970186,-75.860766666,05-Antioquia,05576-Pueblorrico,Pueblorrico
5,ANTIOQUIA,5579,PUERTO BERRÍO,Municipio,6.481922267,-74.528742101,05-Antioquia,05579-Puerto Berrío,Puerto Berrío
5,ANTIOQUIA,5585,PUERTO NARE,Municipio,6.126539139,-74.703177217,05-Antioquia,05585-Puerto Nare,Puerto Nare
5,ANTIOQUIA,5591,PUERTO TRIUNFO,Municipio,5.954830151,-74.686191798,05-Antioquia,05591-Puerto Triunfo,Puerto Triunfo
5,ANTIOQUIA,5604,REMEDIOS,Municipio,6.997267375,-74.558656518,05-Antioquia,05604-Remedios,Remedios
5,ANTIOQUIA,5607,RETIRO,Municipio,6.053444254,-75.515738045,05-Antioquia,05607-Retiro,Retiro
5,ANTIOQUIA,5615,RIONEGRO,Municipio,6.150785807,-75.410760524,05-Antioquia,05615-Rionegro,Rionegro
5,ANTIOQUIA,5628,SABANALARGA,Municipio,6.901000506,-75.792227535,05-Antioquia,05628-Sabanalarga,Sabanalarga
5,ANTIOQUIA,5631,SABANETA,Municipio,6.138305183,-75.608805993,05-Antioquia,05631-Sabaneta,Sabaneta
5,ANTIOQUIA,5642,SALGAR,Municipio,5.970502334,-75.981372511,05-Antioquia,05642-Salgar,Salgar
5,ANTIOQUIA,5647,SAN ANDRÉS DE CUERQUÍA,Municipio,6.918427233,-75.6657758,05-Antioquia,05647-San Andrés De Cuerquía,San Andrés De Cuerquía
5,ANTIOQUIA,5649,SAN CARLOS,Municipio,6.193789659,-74.90732769,05-Antioquia,05649-San Carlos,San Carlos
5,ANTIOQUIA,5652,SAN FRANCISCO,Municipio,5.840093731,-74.98176334,05-Antioquia,05652-San Francisco,San Francisco
5,ANTIOQUIA,5656,SAN JERÓNIMO,Municipio,6.438300409,-75.703107272,05-Antioquia,05656-San Jerónimo,San Jerónimo
5,ANTIOQUIA,5658,SAN JOSÉ DE LA MONTAÑA,Municipio,6.823258913,-75.677708262,05-Antioquia,05658-San José De La Montaña,San José De La Montaña
5,ANTIOQUIA,5659,SAN JUAN DE URABÁ,Municipio,8.707141583,-76.532482343,05-Antioquia,05659-San Juan De Urabá,San Juan De Urabá
5,ANTIOQUIA,5660,SAN LUIS,Municipio,6.024205956,-75.007667403,05-Antioquia,05660-San Luis,San Luis
5,ANTIOQUIA,5664,SAN PEDRO DE LOS MILAGROS,Municipio,6.458666308,-75.562483898,05-Antioquia,05664-San Pedro De Los Milagros,San Pedro De Los Milagros
5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,Municipio,8.37915695,-76.316642334,05-Antioquia,05665-San Pedro De Urabá,San Pedro De Urabá
5,ANTIOQUIA,5667,SAN RAFAEL,Municipio,6.31074453,-74.998586516,05-Antioquia,05667-San Rafael,San Rafael
5,ANTIOQUIA,5670,SAN ROQUE,Municipio,6.466165211,-74.945073196,05-Antioquia,05670-San Roque,San Roque
5,ANTIOQUIA,5674,SAN VICENTE FERRER,Municipio,6.310387522,-75.327401628,05-Antioquia,05674-San Vicente Ferrer,San Vicente Ferrer
5,ANTIOQUIA,5679,SANTA BÁRBARA,Municipio,5.878984956,-75.583303711,05-Antioquia,05679-Santa Bárbara,Santa Bárbara
5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,Municipio,6.675827825,-75.438143332,05-Antioquia,05686-Santa Rosa De Osos,Santa Rosa De Osos
5,ANTIOQUIA,5690,SANTO DOMINGO,Municipio,6.481044132,-75.142600968,05-Antioquia,05690-Santo Domingo,Santo Domingo
5,ANTIOQUIA,5697,EL SANTUARIO,Municipio,6.124209495,-75.252122776,05-Antioquia,05697-El Santuario,El Santuario
5,ANTIOQUIA,5736,SEGOVIA,Municipio,7.26692339,-74.621639263,05-Antioquia,05736-Segovia,Segovia
5,ANTIOQUIA,5756,SONSÓN,Municipio,5.826388779,-74.836376225,05-Antioquia,05756-Sonsón,Sonsón
5,ANTIOQUIA,5761,SOPETRÁN,Municipio,6.520164552,-75.745809033,05-Antioquia,05761-Sopetrán,Sopetrán
