departamento,municipio,codigo_prestador,nombre_prestador,codigo_habilitacion,numero_sede,nombre,tipo_zona,direccion,barrio,cepo_codigo,centro_poblado,fecha_apertura,nits_nit,clase_persona,naju_codigo,naturaleza,clpr_codigo,clase_prestador,nivel,caracter,sede_principal,habilitado,numero_sede_principal,Municipio PDET,Municipio PNSR,Municipio ZOMAC
Cauca,ALMAGUER,1939700051,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E,1902200051,5,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E UNIDAD DE ATENCION EN SALUD ALMAGUER,URBANA,Calle 3° N 7-12,El Hospital,19022000.0,ALMAGUER,20070508,900145572,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,NO,NO,NO
Cauca,ALMAGUER,1939700051,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E,1902200051,6,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E UNIDAD DE ATENCION EN SALUD CAQUIONA,RURAL,RESGURDO DE CAQUIONA,No definido,19022000.0,ALMAGUER,20070508,900145572,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,NO,NO,NO
Cauca,ALMAGUER,1939700051,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E,1902200051,14,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E UNIDAD DE ATENCION EN SALUD LA HERRADURA,RURAL,CENTRO DE SALUD LA HERRADURA,No definido,No definido,No definido,20090324,900145572,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,NO,NO,NO
Cauca,ALMAGUER,1939700051,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E,1902200051,22,EMPRESA SOCIAL DEL ESTADO SURORIENTE E.S.E UNIDAD DE ATENCION EN SALUD LLACUANAS,RURAL,LLACUANAS,CALLE PRINCIPAL,19022004.0,LLACUANAS,20190409,900145572,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,1.0,DEPARTAMENTAL,NO,SI,1,NO,NO,NO
Cauca,BALBOA,1945009093,UNILAB LABORATORIO CLINICO Y CITOLOGICO SAS,1907509093,5,UNILAB BALBOA TOMA DE MUESTRAS,URBANA,CALLE 7 # 4-38,SANTANDER,19075000.0,BALBOA,20190218,900895500,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,SI,SI,SI
Cauca,BOLÍVAR,1900107048,CORPORACIOPN DE SERVICIOS MEDICOS INTERNACIONALES THEM & CIA,1910007048,4,CENTRO MEDICO COSMITET BOLIVAR,URBANA,CL 8 ·2-10,CRISTO REY,No definido,No definido,20061117,830023202,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,NO,NO,NO
Cauca,BOLÍVAR,1910008109,IPS NUESTRA SEÑORA DE LAS MISERICORDIAS LTDA,1910008109,1,IPS NUESTRA SEÑORA DE LAS MISERICORDIAS LTDA,URBANA,CALLE PRINCIPAL BARRIO CALLE NUEVA,CALLE NUEVA,No definido,No definido,20080523,900218612,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,SI,SI,1,NO,NO,NO
Cauca,BOLÍVAR,1910008109,IPS NUESTRA SEÑORA DE LAS MISERICORDIAS LTDA,1910008109,2,IPS NUESTRA SEÑORA DE LAS MISERICORDIAS 2,URBANA,Carrera 5 No. 7-52 .,Centro,No definido,No definido,20211209,900218612,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,NO,NO,NO
Cauca,BOLÍVAR,1910008752,ANNY YOHANA MARTINEZ CHILITO,1910008752,1,ANNY YOHANA MARTINEZ CHILITO,URBANA,CRA 3 No. 7-03,CENTRO,19100000.0,BOLÍVAR,20140611,1107039164,NATURAL,1,Privada,2,Profesional Independiente,No definido,No definido,SI,SI,1,NO,NO,NO
Cauca,BOLÍVAR,1945009093,UNILAB LABORATORIO CLINICO Y CITOLOGICO SAS,1910009093,6,UNILAB BOLIVAR TOMA DE MUESTRAS,URBANA,CALLE 8 # 5-31,ALTO SANO,19100000.0,BOLÍVAR,20190218,900895500,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,No definido,No definido,NO,SI,1,NO,NO,NO
