depa_nombre,muni_nombre,codigo_habilitacion,numero_sede,sede_nombre,nits_nit,clase_persona,naju_codigo,naju_nombre,clpr_codigo,clpr_nombre,nivel,caracter,habilitado,grse_codigo,grse_nombre,serv_codigo,serv_nombre,ambulatorio,hospitalario,unidad_movil,domiciliario,otras_extramural,centro_referencia,institucion_remisora,complejidad_baja,complejidad_media,complejidad_alta,fecha_apertura,numero_sede_principal,nombre,modalidad_intramural,modalidad_extramural,modalidad_unidad_movil,modalidad_domiciliario,modalidad_jornada_salud,modalidad_telemedicina,modalidad_prestador_referencia,modalidad_prestador_referencia_telemedicina_interactiva,modalidad_prestador_referencia_telemedicina_no_interactiva,modalidad_prestador_referencia_tele_experticia,modalidad_prestador_referencia_tele_monitoreo,modalidad_prestador_remisor,modalidad_prestador_remisor_tele_experticia,modalidad_prestador_remisor_tele_monitoreo,complejidades
Nariño,IPIALES,5235602458,1,IPIALES,900998315,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,8,Otros Servicios,816,ATENCIÓN DOMICILIARIA DE PACIENTE CRÓNICO SIN VENTILADOR,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,20160916,2,IPS DOMICILIARIA SAN RAFAEL S.A.S,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nariño,IPIALES,5235602458,1,IPIALES,900998315,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,8,Otros Servicios,817,ATENCIÓN DOMICILIARIA DE PACIENTE AGUDO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,20160916,2,IPS DOMICILIARIA SAN RAFAEL S.A.S,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nariño,PASTO,5200100107,1,CEHANI ESE,891200638,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,2.0,DEPARTAMENTAL,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,740,FONOAUDIOLOGÍA Y/O TERAPIA DEL LENGUAJE,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20030402,1,CEHANI ESE,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200100107,1,CEHANI ESE,891200638,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,2.0,DEPARTAMENTAL,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,739,FISIOTERAPIA,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20030402,1,CEHANI ESE,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200100107,1,CEHANI ESE,891200638,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,2.0,DEPARTAMENTAL,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,728,TERAPIA OCUPACIONAL,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20030402,1,CEHANI ESE,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200100107,1,CEHANI ESE,891200638,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,2.0,DEPARTAMENTAL,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,714,SERVICIO FARMACÉUTICO,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,20120629,1,CEHANI ESE,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIANA
Nariño,PASTO,5200100107,1,CEHANI ESE,891200638,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,2.0,DEPARTAMENTAL,SI,3,Consulta Externa,344,PSICOLOGÍA,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20060904,1,CEHANI ESE,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200100107,1,CEHANI ESE,891200638,JURIDICO,4,Pública,1,Instituciones Prestadoras de Servicios de Salud - IPS,2.0,DEPARTAMENTAL,SI,3,Consulta Externa,328,MEDICINA GENERAL,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20210122,1,CEHANI ESE,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200100194,1,AMPARO DE ANCIANOS SAN JOSE,800020591,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,739,FISIOTERAPIA,NO,SI,NO,NO,NO,NO,NO,SI,NO,NO,20080908,1,FUNDACION AMPARO SAN JOSE,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200100194,1,AMPARO DE ANCIANOS SAN JOSE,800020591,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,728,TERAPIA OCUPACIONAL,NO,SI,NO,NO,NO,NO,NO,SI,NO,NO,20080908,1,FUNDACION AMPARO SAN JOSE,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
Nariño,PASTO,5200100194,1,AMPARO DE ANCIANOS SAN JOSE,800020591,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,344,PSICOLOGÍA,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,20141211,1,FUNDACION AMPARO SAN JOSE,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200100194,1,AMPARO DE ANCIANOS SAN JOSE,800020591,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,328,MEDICINA GENERAL,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,20080908,1,FUNDACION AMPARO SAN JOSE,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200100194,1,AMPARO DE ANCIANOS SAN JOSE,800020591,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,312,ENFERMERÍA,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,20130308,1,FUNDACION AMPARO SAN JOSE,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200100261,1,CRUZ ROJA COLOMBIANA SECCIONAL NARIÑO,891200372,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,328,MEDICINA GENERAL,SI,NO,NO,SI,SI,NO,NO,SI,NO,NO,20081002,1,CRUZ ROJA COLOMBIANA SECCIONAL NARIÑO,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BAJA
Nariño,PASTO,5200100283,2,CONSULTA EXTERNA HILA,891200240,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,3,Consulta Externa,325,MEDICINA FAMILIAR,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,20221102,1,HOSPITAL INFANTIL LOS ANGELES,SI,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIANA
Nariño,PASTO,5200100333,1,LABORATORIO CLINICO COMPAC S.A.S,814000412,JURIDICO,1,Privada,1,Instituciones Prestadoras de Servicios de Salud - IPS,ND,ND,SI,7,Apoyo Diagnóstico y Complementación Terapéutica,712,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,20150804,1,LABORATORIO CLINICO COMPAC SAS,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SIN COMPLEJIDAD
